relative contribution to rate (dimensionless), Energy (eV) 
1.0 , 0.14983503672140505
0.9749740337657788 , 0.1488340818588328
0.9749739255330899 , 0.14883407271060073
0.012054076040099573 , 0.14107834999854013
0.012053979702039797 , 0.1410783398293493
8.414130775360492e-16 , 0.13128262407994654
0.0490202031334039 , 0.09508409414239781
0.0490202087659073 , 0.09508408427616591
0.02484223421052809 , 0.09352413499290951
0.005766470716469761 , 0.08168501115390155
0.005766480181663801 , 0.08168499824509265
0.27157121972807186 , 0.0632455987934121
0.2520420604099276 , 0.05864122384270049
0.25204205669375757 , 0.058641214948081284
6.487680188194607e-16 , 0.05300125862677022
0.009132481164876676 , 0.04719245428456316
0.00913250073712709 , 0.04719244511397
0.042686842566853664 , 0.04638460619934852
3.772360794537633e-16 , 0.04228956428123368
0.002014216012923362 , 0.030358660889480946
0.0020142169786185817 , 0.030358650488633603
2.226619269929871e-16 , 0.018156907444128196
9.231385486180559e-05 , 0.013778533049306228
9.231377405705391e-05 , 0.013778521748208651
